"Gene","baseMean","log2FC","lfcSE","stat","PValue","FDR","log2FCabs"
"nikC",72.9601619440085,-3.83668156650289,0.584013763031773,-6.56950539416339,5.04826661065874e-11,3.17372643537737e-09,3.83668156650289
"nikD",98.3671095704551,-2.88694967163124,0.442382934151259,-6.52590651393467,6.759147058823e-11,4.06976812344624e-09,2.88694967163124
"nikE",94.7593547957852,-2.5981959812271,0.375441477055322,-6.92037545133634,4.50448199343926e-12,3.70320394652939e-10,2.5981959812271
"nirB",6125.42104819168,2.93308548325186,0.901205197338262,3.25462557463586,0.00113541951365869,0.0157084738540159,2.93308548325186
"nirC",307.850991439678,2.95492065158513,0.656074810885632,4.50393857919388,6.6705493059755e-06,0.000179284160944032,2.95492065158513
"nirD",285.282435714202,2.59018765045743,0.724953567094115,3.57290144917814,0.00035304765454917,0.00565272930036592,2.59018765045743
"nmpC",19847.2646764489,-3.47564157793822,0.775882118602247,-4.47960005084226,7.47830308138067e-06,0.000196133409036211,3.47564157793822
"nupG",1000.29494335462,-1.27070937133496,0.26577757662364,-4.78110075152945,1.74337955965807e-06,5.24855466023822e-05,1.27070937133496
"ompF",116923.544931989,-2.67590327738751,0.470507505586972,-5.68727011920722,1.2908619225176e-08,5.46379675125023e-07,2.67590327738751
"ompW",10680.1137073978,-3.33898181563016,0.885746175945954,-3.76968245114264,0.000163455382351567,0.00308022369379517,3.33898181563016
"ompX",33531.7822675411,1.81653974070876,0.374474454837101,4.85090429332214,1.22899843067731e-06,3.83501335120109e-05,1.81653974070876
"pagP",888.147742933191,1.5213153521836,0.453955909029195,3.35124033397208,0.000804504485416908,0.0116981519563173,1.5213153521836
"patD",1082.96464854444,-1.73769666262764,0.425001471027922,-4.08868387778704,4.33827585946904e-05,0.000931966296443726,1.73769666262764
"pck",17205.5449792716,-3.56824417265681,0.366734085028777,-9.72978601750861,2.25065904691004e-22,6.01347964096276e-20,3.56824417265681
"pgk",33982.4179987084,1.37227344220271,0.421782648354219,3.25350852520196,0.00113989304907666,0.0157123910528263,1.37227344220271
"phoA",1033.08073423789,-1.1444921029081,0.304018869313713,-3.76454298870217,0.000166853962742642,0.00312851180142454,1.1444921029081
"pka",3971.00316441122,-2.29855132636184,0.266213429697682,-8.63424256609488,5.9117435252054e-18,1.05302931542721e-15,2.29855132636184
"pliG",3966.51742833448,3.92153996387622,0.686057294069902,5.71605316024329,1.09026642905965e-08,4.70796867093938e-07,3.92153996387622
"pmrD",176.598592695779,-1.28799472146908,0.428996364020254,-3.00234414436266,0.00267909118547768,0.0321716708368458,1.28799472146908
"ppsA",11393.802795335,-2.55422514689826,0.507864870077869,-5.02934008116495,4.92170786735669e-07,1.65671662464172e-05,2.55422514689826
"pqqL",1332.45949878202,-1.52696156181168,0.419316790159501,-3.64154643373773,0.000271005231956452,0.00461572656021447,1.52696156181168
"preA",316.353604034309,-1.88560371730526,0.300713455984963,-6.27043346340828,3.60044380585797e-10,1.87706064268815e-08,1.88560371730526
"preT",275.518105107871,-2.6052908819633,0.291211533676745,-8.94638632292383,3.67309873653119e-19,7.47737957079565e-17,2.6052908819633
"proP",17137.2313126179,2.03162411937139,0.516118395134167,3.9363528572611,8.27293058352573e-05,0.00170032587714291,2.03162411937139
"psiE",863.237772256712,2.52693592689436,0.763644147998929,3.30904902959841,0.000936134420355902,0.0132955968339584,2.52693592689436
"psuG",79.8804477366236,-2.00865696176678,0.447550779942545,-4.48810962193975,7.18579529322631e-06,0.000190802949556165,2.00865696176678
"psuK",40.4537141231835,-2.93177160670925,0.457495498594085,-6.40830700131211,1.47144390259329e-10,8.38723024478174e-09,2.93177160670925
"ptsG",12865.3416279074,1.62358188980426,0.550032100321967,2.95179479316548,0.00315932813430697,0.0362094578395772,1.62358188980426
"ptsH",11133.9501465426,1.43027550180894,0.415529252765042,3.4420573095432,0.000577307928512418,0.00869011054362882,1.43027550180894
"ptsI",58966.3893759813,1.60783883015893,0.43454842428452,3.70002223067826,0.000215580581424439,0.00388746471896894,1.60783883015893
"pykF",27172.1336067153,1.3593806690052,0.425026124708627,3.19834614857406,0.0013821826316794,0.0184075724312444,1.3593806690052
"pyrB",675.861455487726,3.78102236286353,0.865956789213829,4.36629449639882,1.26372071137223e-05,0.00031048310581128,3.78102236286353
"pyrI",512.231469052099,2.90671805154182,0.785805460745191,3.69903009936497,0.000216424936401078,0.00388746471896894,2.90671805154182
"raiA",58519.0891665274,-2.32981715071784,0.379608762384974,-6.13741668153354,8.387418321497e-10,4.12140383039077e-08,2.32981715071784
"rbbA",751.956752033949,-1.19372914723608,0.356140125791774,-3.35185243331446,0.000802727938013476,0.0116981519563173,1.19372914723608
"rbsA",843.589968777453,-2.18323658546078,0.494404909927067,-4.41588775035192,1.00596279198983e-05,0.000251490697997456,2.18323658546078
"rbsB",24400.1568451848,-2.09702114391544,0.706529774890521,-2.96805770746234,0.00299688060258498,0.0351004508932898,2.09702114391544
"rbsC",565.465506562779,-1.40195346263387,0.394941440873451,-3.5497755300971,0.000385559755480088,0.00615025356222902,1.40195346263387
"rbsD",3392.89286620986,-2.27469576347962,0.257296829528317,-8.8407454054123,9.50820988589603e-19,1.84761805737298e-16,2.27469576347962
"rbsR",290.629809849791,-1.13152020348838,0.308544511745352,-3.66728352122578,0.000245140935255211,0.00424282387941711,1.13152020348838
"rclR",53.587768003258,-1.29919381398553,0.411320564860514,-3.15859192312962,0.00158533304245843,0.0206624962088714,1.29919381398553
"recG",672.300136561711,1.05890566337846,0.299059979713752,3.54078022874208,0.000398945732643386,0.00631664076685361,1.05890566337846
"rhmD",125.565330650962,-3.63486357679951,0.421952202094644,-8.61439650926198,7.03109620152767e-18,1.20231745046123e-15,3.63486357679951
"rihA",1157.69786920606,-2.78718987014323,0.480232315073316,-5.80383656547084,6.48144561451163e-09,2.82736530633033e-07,2.78718987014323
"rihB",36.4948427621911,-2.35685854229182,0.725082946512865,-3.25046748599818,0.0011521544221705,0.0157495082286446,2.35685854229182
"rihC",448.417620826339,-3.01679431690099,0.618149812872894,-4.88036112618109,1.05891758643282e-06,3.37826319552263e-05,3.01679431690099
"rnk",966.646671258847,-1.1006828675533,0.360863679602861,-3.05013480094374,0.00228738675411337,0.0278591976462526,1.1006828675533
"rrfG",33.5369615469037,5.51084456464655,1.30920276462788,4.20931326570556,2.56148039534443e-05,0.000598378616945215,5.51084456464655
